Channel Id,Channel Url,Channel Title
UC098LVIqMd6HQI0B0kWtLgQ,http://www.youtube.com/channel/UC098LVIqMd6HQI0B0kWtLgQ,The Taylor and Amy Show
UC0ET32qW9UZioyKeeirkBDw,http://www.youtube.com/channel/UC0ET32qW9UZioyKeeirkBDw,Nils Kullberg
UC0KfjyvabuE2J-RBC6ko2Lw,http://www.youtube.com/channel/UC0KfjyvabuE2J-RBC6ko2Lw,Mac Address
UC0UflzOybq16vw7b638_-pg,http://www.youtube.com/channel/UC0UflzOybq16vw7b638_-pg,Tech Time Traveller
UC0XWUhBqEIW6FEGeKNFPmLQ,http://www.youtube.com/channel/UC0XWUhBqEIW6FEGeKNFPmLQ,AdmiralSym
UC0ptp5KuvAJmp8kRV8dqZDA,http://www.youtube.com/channel/UC0ptp5KuvAJmp8kRV8dqZDA,Les' Lab
UC0vmyDdZGZipufJxm0ZYNgQ,http://www.youtube.com/channel/UC0vmyDdZGZipufJxm0ZYNgQ,8-bit Esquire
UC1ELUfyiYnQQhtPWBS9Dmbg,http://www.youtube.com/channel/UC1ELUfyiYnQQhtPWBS9Dmbg,David Zhang
UC1keARoicKc_qZnUwTZURhw,http://www.youtube.com/channel/UC1keARoicKc_qZnUwTZURhw,The Retro Stuff Guy
UC2-SP1bYi3ueKlVU7I75wFw,http://www.youtube.com/channel/UC2-SP1bYi3ueKlVU7I75wFw,Noel's Retro Lab
UC2bHNR6hCfKDnJSO2MyoSTQ,http://www.youtube.com/channel/UC2bHNR6hCfKDnJSO2MyoSTQ,Grug Huhler
UC2nm-uGpNLz3UBKh-URnZfw,http://www.youtube.com/channel/UC2nm-uGpNLz3UBKh-URnZfw,Socket Science
UC3GrRPAydgBn42lab2izBlg,http://www.youtube.com/channel/UC3GrRPAydgBn42lab2izBlg,AlphaPhoenix2
UC3Oi3oA33qlzADMX5fWhOkQ,http://www.youtube.com/channel/UC3Oi3oA33qlzADMX5fWhOkQ,CelGenStudios
UC3ewEwPUnReNd_mgwxOn9aQ,http://www.youtube.com/channel/UC3ewEwPUnReNd_mgwxOn9aQ,strager
UC3jc4X-kEq-dEDYhQ8QoYnQ,http://www.youtube.com/channel/UC3jc4X-kEq-dEDYhQ8QoYnQ,DIY Machines
UC3p13SucejUGwygjHQta4Kw,http://www.youtube.com/channel/UC3p13SucejUGwygjHQta4Kw,Kathy Korevec
UC4OPqfX3clJgmb_K72Pu-kA,http://www.youtube.com/channel/UC4OPqfX3clJgmb_K72Pu-kA,3D Printer Academy
